GEOM_X;GEOM_Y;TERYT_KOD;ULICA_NR
7434248,942;5552919,046;17587;pruska_22
7434287,227;5552952,001;17587;pruska_24
7434310,723;5552948,561;17587;pruska_26
7434112,261;5552695,388;11349;luborzycka_60
7434116,206;5552631,288;11349;luborzycka_56
7434928,195;5551891,089;3624;darwina_57a
7434938,724;5551827,425;3624;darwina_55
7434921,374;5551851,895;3624;darwina_53
7434877,406;5551809,164;3624;darwina_51a
7434898,323;5551829,905;3624;darwina_51b
7434946,766;5551887,196;3624;darwina_92
7434944,309;5551918,697;3624;darwina_94
7434912,501;5551987,591;3624;darwina_98
7434909,021;5552011,066;3624;darwina_100
7434902,24;5551958,861;3624;darwina_59
7434588,097;5553168,995;8750;kocmyrzowska_22
7434913,041;5551900,832;3624;darwina_57
7427744,145;5547880,438;19885;sierpowa_3
7427749,905;5547767,024;19885;sierpowa_1
7428222,277;5547452,861;25427;zajêcza_11
7428184,106;5547532,299;25427;zajêcza_10
7428140,351;5547432,616;25427;zajêcza_5
7428153,109;5547382,752;14210;niepo³omska_42
7428488,433;5547551,513;31112;cichociemnych ak_15
7428488,128;5547569,667;31112;cichociemnych ak_12
7428437,475;5547593,635;31112;cichociemnych ak_17
7428450,978;5547604,381;31112;cichociemnych ak_14
7428253,27;5547189,53;14210;niepo³omska_53
7428249,317;5547200,752;14210;niepo³omska_51
7428220,385;5547271,304;14210;niepo³omska_47
7428198,735;5547303,835;14210;niepo³omska_46
7428166,494;5547338,332;14210;niepo³omska_44
7428027,791;5547727,72;31112;cichociemnych ak_52
7428527,64;5547738,366;14429;nowohucka_44
7428527,64;5547738,366;14429;nowohucka_44
7428415,465;5547652,01;31112;cichociemnych ak_22
7428260,342;5547168,371;14210;niepo³omska_54
7428202,189;5547416,602;14210;niepo³omska_42a
7427644,987;5547813,59;19885;sierpowa_6
7428436,252;5549063,965;7120;jana paw³a ii_82
7428436,252;5549063,965;7120;jana paw³a ii_82
7428616,6;5548990,5;25064;wysockiej_2a
7428455,574;5548994,115;7120;jana paw³a ii_78
7428455,574;5548994,115;7120;jana paw³a ii_78
7428470,721;5549114,91;7120;jana paw³a ii_92
7428470,721;5549114,91;7120;jana paw³a ii_92
7428445,867;5549113,045;7120;jana paw³a ii_90
7428445,867;5549113,045;7120;jana paw³a ii_90
7428420,222;5549111,09;7120;jana paw³a ii_88
7428420,222;5549111,09;7120;jana paw³a ii_88
7428686,095;5548758,611;1615;boguszówka_33
7428236,014;5549068,414;7120;jana paw³a ii_72
7428236,014;5549068,414;7120;jana paw³a ii_72
7428250,438;5548921,065;7120;jana paw³a ii_68a
7428250,438;5548921,065;7120;jana paw³a ii_68a
7428500,677;5549042,075;7120;jana paw³a ii_84
7428500,677;5549042,075;7120;jana paw³a ii_84
7428581,49;5548971,86;25064;wysockiej_2b
7428177,925;5550249,9;20027;skar¿yñskiego_1
7428223,235;5550405,743;20027;skar¿yñskiego_5
7428240,465;5550466,329;20027;skar¿yñskiego_7
7428196,077;5550524,378;20027;skar¿yñskiego_9
7427695,647;5549467,313;7120;jana paw³a ii_39
7427695,647;5549467,313;7120;jana paw³a ii_39
7427995,381;5549149,71;7120;jana paw³a ii_31
7427995,381;5549149,71;7120;jana paw³a ii_31
7427956,467;5549261,006;7120;jana paw³a ii_33
7427956,467;5549261,006;7120;jana paw³a ii_33
7428297,925;5550311,966;20027;skar¿yñskiego_2
7428202,634;5550333,224;20027;skar¿yñskiego_3
7428255,84;5549258,382;7120;jana paw³a ii_37
7428255,84;5549258,382;7120;jana paw³a ii_37
7427945,283;5549291,221;7120;jana paw³a ii_35
7427945,283;5549291,221;7120;jana paw³a ii_35
7428430,198;5549188,565;7120;jana paw³a ii_43
7428430,198;5549188,565;7120;jana paw³a ii_43
7427043,115;5550354,11;157;akacjowa_12
7427043,115;5550354,11;157;akacjowa_12
7428365,035;5550289,707;20027;skar¿yñskiego_8
7428256,38;5550183,592;20027;skar¿yñskiego_4
7428309,065;5550205,732;20027;skar¿yñskiego_6
7426995,895;5550365,509;157;akacjowa_10
7426995,895;5550365,509;157;akacjowa_10
7428352,003;5551320,99;23267;tysi¹clecia_72
7428301,988;5551313,705;23267;tysi¹clecia_66
7428230,812;5551294,405;23267;tysi¹clecia_65
7428196,799;5551250,78;23267;tysi¹clecia_64
7427822,811;5550969,29;15438;oœwiecenia_31
7427882,43;5550923,5;15438;oœwiecenia_28
7427874,178;5550971,365;15438;oœwiecenia_29
7427928,269;5551006,045;15438;oœwiecenia_14
7427970,626;5550989,54;15438;oœwiecenia_15
7428024,162;5551058,355;15438;oœwiecenia_9
7427899,427;5551038,585;15438;oœwiecenia_12
7428071,77;5550983,225;15438;oœwiecenia_7
7428079,701;5550941,941;15438;oœwiecenia_6
7427794,387;5550809,523;15438;oœwiecenia_26
7427848,208;5550799,422;15438;oœwiecenia_25
7427836,868;5550760,111;15438;oœwiecenia_23
7427917,014;5550757,763;15438;oœwiecenia_24
7427965,453;5550832,895;15438;oœwiecenia_18
7428000,215;5550837,375;15438;oœwiecenia_19
7427983,016;5550785,975;15438;oœwiecenia_20
7428128,252;5550792,716;15438;oœwiecenia_2
7428106,711;5550841,576;15438;oœwiecenia_3
7427883,837;5550871,434;15438;oœwiecenia_27
7428067,8;5550865,515;15438;oœwiecenia_5
7428105,622;5550874,571;15438;oœwiecenia_4
7427936,476;5551087,07;15438;oœwiecenia_11
7428017,939;5551109,88;15438;oœwiecenia_10
7428158,171;5551315,335;23267;tysi¹clecia_86
7428160,488;5551192,255;23267;tysi¹clecia_63
7428218,113;5551164,16;23267;tysi¹clecia_61
7428279,164;5551196,83;23267;tysi¹clecia_60
7428328,181;5551230,4;23267;tysi¹clecia_59
7428008,664;5551591,79;2353;budziszyñska_3
7427999,876;5551593,88;2353;budziszyñska_5
7427977,519;5551605,74;2353;budziszyñska_11
7427972,063;5551612,813;2353;budziszyñska_13
7427962,886;5551613,755;2353;budziszyñska_15
7428319,238;5551505,796;26196;z³otego wieku_74
7428410,094;5551479,648;26196;z³otego wieku_79
7428392,944;5551471,645;26196;z³otego wieku_83
7428404,309;5551464,741;26196;z³otego wieku_82
7428263,201;5551670,246;26196;z³otego wieku_71
7428258,035;5551721,075;26196;z³otego wieku_69
7428259,909;5551773,585;26196;z³otego wieku_67
7428141,788;5551724,064;26196;z³otego wieku_70
7428154,186;5551767,605;26196;z³otego wieku_68
7428178,664;5551811,055;26196;z³otego wieku_66
7428218,646;5551864,045;26196;z³otego wieku_54
7428278,149;5551799,706;26196;z³otego wieku_67a
7428284,472;5551832,085;26196;z³otego wieku_53
7428322,206;5551875,99;26196;z³otego wieku_65
7427928,735;5551644,955;2353;budziszyñska_25
7427959,459;5551651,726;2353;budziszyñska_22
7427928,882;5551675,032;2353;budziszyñska_32
7428047,274;5551648,83;27655;korony polskiej_3
7428040,086;5551653,329;27655;korony polskiej_5
7428031,838;5551656,341;27655;korony polskiej_7
7428024,747;5551660,192;27655;korony polskiej_9
7428017,677;5551664,804;27655;korony polskiej_11
7428010,517;5551668,674;27655;korony polskiej_13
7428003,525;5551672,775;27655;korony polskiej_15
7427986,323;5551681,568;27655;korony polskiej_19
7427910,135;5551751,845;27655;korony polskiej_43
7428046,051;5551672,29;27655;korony polskiej_2
7428036,473;5551681,071;27655;korony polskiej_4
7428033,271;5551682,56;27655;korony polskiej_6
7428022,178;5551691,401;27655;korony polskiej_8
7428018,893;5551693,327;27655;korony polskiej_10
7427955,63;5551743,265;27655;korony polskiej_26
7427951,569;5551746,616;27655;korony polskiej_28
7427931,209;5551763,561;27655;korony polskiej_34
7428031,998;5551743,662;15170;or³a bia³ego_7
7428023,28;5551746,405;15170;or³a bia³ego_9
7428007,176;5551761,959;15170;or³a bia³ego_13
7428002,392;5551766,198;15170;or³a bia³ego_15
7427974,973;5551787,107;15170;or³a bia³ego_21
7427966,561;5551794,439;15170;or³a bia³ego_23
7428018,094;5551784,697;15170;or³a bia³ego_6
7428054,54;5551813,572;15714;parnickiego_5
7427984,956;5551850,4;27656;zjazdu gnieŸnieñskiego_5
7428012,032;5551854,78;27656;zjazdu gnieŸnieñskiego_3
7427916,566;5551865,425;27656;zjazdu gnieŸnieñskiego_10
7427900,011;5551769,821;27655;korony polskiej_47
7427899,48;5551776,866;27655;korony polskiej_49
7427899,88;5551786,165;27655;korony polskiej_51
7427897,025;5551802,322;27655;korony polskiej_55
7427894,13;5551810,566;27655;korony polskiej_57
7427893,625;5551819,536;27655;korony polskiej_59
7427897,586;5551834,233;27655;korony polskiej_61
7427859,935;5551764,587;2353;budziszyñska_58
7427858,225;5551775,827;2353;budziszyñska_60
7427857,3;5551781,371;2353;budziszyñska_62
7427855,38;5551792,888;2353;budziszyñska_64
7427854,47;5551798,388;2353;budziszyñska_66
7427852,725;5551808,822;2353;budziszyñska_68
7427851,675;5551815,157;2353;budziszyñska_70
7427849,895;5551826,162;2353;budziszyñska_72
7427845,74;5551747,367;2353;budziszyñska_53
7427845,205;5551750,672;2353;budziszyñska_55
7427841,616;5551772,348;2353;budziszyñska_59
7427837,485;5551795,512;2353;budziszyñska_65
7427980,19;5551874,475;27656;zjazdu gnieŸnieñskiego_6
7428007,341;5551878,18;27656;zjazdu gnieŸnieñskiego_4
7428026,383;5551939,225;15714;parnickiego_13
7428167,345;5551911,876;26196;z³otego wieku_55
7428164,845;5551969,477;26196;z³otego wieku_58
7428276,225;5551982,212;26196;z³otego wieku_61
7428218,339;5552028,395;26196;z³otego wieku_60
7428310,315;5551919,161;26196;z³otego wieku_64
7428057,299;5550757,507;15438;oœwiecenia_21
7428041,176;5551884,29;27656;zjazdu gnieŸnieñskiego_2
7428042,411;5551260,51;15438;oœwiecenia_39
7428000,12;5551213,58;15438;oœwiecenia_38
7427933,306;5551212,416;15438;oœwiecenia_37
7427858,652;5551170,771;15438;oœwiecenia_35
7427835,495;5551206,9;15438;oœwiecenia_43
7428291,925;5551955,976;26196;z³otego wieku_62
7428354,605;5551844,052;26196;z³otego wieku_52
7428158,355;5551946,249;26196;z³otego wieku_57
7428198,196;5551938,98;26196;z³otego wieku_56
7428185,652;5552016,259;26196;z³otego wieku_59
7428146,764;5551879,872;23749;wawelska_16
7428398,467;5551485,116;26196;z³otego wieku_78
7428180,653;5551133,99;23267;tysi¹clecia_62
7428203,005;5551185,81;23267;tysi¹clecia_62a
7427896,225;5551793,673;27655;korony polskiej_53
7428046,93;5551402,769;15438;oœwiecenia_40
7428137,819;5551908,607;23749;wawelska_14
7428131,955;5551935,884;23749;wawelska_12
7428054,045;5551851,236;15714;parnickiego_7
7427819,623;5551613,34;25845;zawieyskiego_14
7427828,948;5551612,26;25845;zawieyskiego_12
7427836,783;5551609,58;25845;zawieyskiego_10
7427850,905;5551607,97;25845;zawieyskiego_8
7427856,879;5551607,015;25845;zawieyskiego_6
7427871,309;5551605,345;25845;zawieyskiego_4
7427784,927;5551611,985;25845;zawieyskiego_18
7427789,332;5551612,445;25845;zawieyskiego_16
7427724,787;5551602,745;25845;zawieyskiego_28
7427956,975;5551811,343;15170;or³a bia³ego_27
7427863,19;5551749,743;2353;budziszyñska_54
7427842,46;5551764,287;2353;budziszyñska_57
7427845,985;5551739,268;2353;budziszyñska_51
7427914,61;5551746,67;27655;korony polskiej_41
7427945,186;5551749,73;27655;korony polskiej_30
7427938,464;5551757,411;27655;korony polskiej_32
7427995,151;5551771,774;15170;or³a bia³ego_17
7428021,442;5551752,314;15170;or³a bia³ego_11
7427967,851;5551724,139;27655;korony polskiej_24
7427945,965;5551628,881;2353;budziszyñska_19
7428366,399;5551481,366;26196;z³otego wieku_85
7428345,939;5551323,84;23267;tysi¹clecia_74
7428352,752;5551327,23;23267;tysi¹clecia_73
7428128,215;5551965,141;23749;wawelska_10
7427841,05;5551776,109;2353;budziszyñska_61
7427838,84;5551789,187;2353;budziszyñska_63
7427836,535;5551801,851;2353;budziszyñska_67
7427833,98;5551818,01;2353;budziszyñska_71
7427833,215;5551813,877;2353;budziszyñska_69
7428033,817;5551605,932;2353;budziszyñska_2
7428028,4;5551608,815;2353;budziszyñska_4
7428021,233;5551612,901;2353;budziszyñska_6
7428013,465;5551617,21;2353;budziszyñska_8
7427991,346;5551629,53;2353;budziszyñska_14
7427983,337;5551633,992;2353;budziszyñska_16
7427976,579;5551637,07;2353;budziszyñska_18
7427954,832;5551657,222;2353;budziszyñska_24
7427949,872;5551661,042;2353;budziszyñska_26
7427939,814;5551669,246;2353;budziszyñska_28
7427914,545;5551689,32;2353;budziszyñska_36
7427899,709;5551698,771;2353;budziszyñska_40
7427896,234;5551702,346;2353;budziszyñska_42
